order_id,product_id,product_name,category,sub_category,region,segment,sales_date,price,competitor_price,discount_percentage,units_sold,revenue,profit,market_average_value,avg_market_sales,avg_market_quantity,pct_change_quantity,pct_change_price,elasticity
CA-2017-163860,OFF-BI-10003784,Computer Printout Index Tabs,Office Supplies,0,Central,Corporate,2017-12-28,0.33599999999999997,0.3528,80.0,5,1.68,-2.688,0.0,0.0,0.0,0.0,0.0,0.0
CA-2016-169922,OFF-BI-10003784,Computer Printout Index Tabs,Office Supplies,0,Central,Corporate,2016-06-11,0.336,0.35280000000000006,80.0,4,1.344,-2.1504,0.0,0.0,0.0,-0.19999999999999996,2.220446049250313e-16,-900719925474099.0
CA-2016-108364,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,0,Central,Corporate,2016-12-19,0.36,0.378,80.0,5,1.8,-2.88,0.0,0.0,0.0,0.25,0.0714285714285714,3.5000000000000018
CA-2014-122567,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,0,Central,Consumer,2014-02-16,0.36000000000000004,0.37800000000000006,80.0,3,1.08,-1.728,0.0,0.0,0.0,-0.4,2.220446049250313e-16,-1801439850948198.5
CA-2017-144064,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,0,Central,Corporate,2017-08-29,0.36000000000000004,0.37800000000000006,80.0,9,3.24,-5.184,0.0,0.0,0.0,2.0,0.0,0.0
US-2015-149692,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,0,Central,Consumer,2015-12-06,0.39599999999999996,0.4158,80.0,7,2.772,-4.851,0.0,0.0,0.0,-0.2222222222222222,0.09999999999999987,-2.222222222222225
US-2015-118766,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,0,Central,Home Office,2015-10-15,0.396,0.41580000000000006,80.0,10,3.96,-6.93,0.0,0.0,0.0,0.4285714285714286,2.220446049250313e-16,1930114126015927.0
US-2017-118038,OFF-BI-10004182,Economy Binders,Office Supplies,0,Central,Corporate,2017-12-09,0.416,0.4368,80.0,3,1.248,-1.9344,0.0,0.0,0.0,-0.7,0.050505050505050386,-13.860000000000031
US-2015-161991,OFF-BI-10004967,Round Ring Binders,Office Supplies,0,Central,Consumer,2015-09-26,0.41600000000000004,0.4368000000000001,80.0,5,2.08,-3.432,0.0,0.0,0.0,0.6666666666666667,2.220446049250313e-16,3002399751580331.0
CA-2016-110898,OFF-BI-10004656,Peel & Stick Add-On Corner Pockets,Office Supplies,0,Central,Consumer,2016-03-06,0.432,0.4536,80.0,4,1.728,-2.7648,0.0,0.0,0.0,-0.19999999999999996,0.038461538461538325,-5.200000000000017
US-2017-102288,OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Office Supplies,0,Central,Consumer,2017-06-19,0.444,0.4662,80.0,1,0.444,-1.11,0.0,0.0,0.0,-0.75,0.0277777777777779,-26.99999999999988
CA-2015-119690,OFF-BI-10000201,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,0,Central,Consumer,2015-06-25,0.492,0.5166000000000001,80.0,2,0.984,-1.476,0.0,0.0,0.0,1.0,0.10810810810810811,9.25
CA-2014-159310,OFF-BI-10000201,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,0,Central,Consumer,2014-11-07,0.492,0.5166000000000001,80.0,3,1.476,-2.214,0.0,0.0,0.0,0.5,0.0,0.0
US-2017-100209,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,0,West,Consumer,2017-07-09,0.54,0.5670000000000001,70.0,2,1.08,-0.792,0.0,0.0,0.0,-0.33333333333333337,0.09756097560975618,-3.416666666666664
CA-2015-106978,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,0,West,Consumer,2015-09-28,0.54,0.5670000000000001,70.0,2,1.08,-0.792,0.0,0.0,0.0,0.0,0.0,0.0
CA-2015-146829,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,0,Central,Consumer,2015-03-10,0.556,0.5838000000000001,80.0,2,1.112,-1.8904,0.0,0.0,0.0,0.0,0.029629629629629672,0.0
CA-2017-124114,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,0,Central,Corporate,2017-03-02,0.556,0.5838000000000001,80.0,1,0.556,-0.9452,0.0,0.0,0.0,-0.5,0.0,0.0
CA-2016-168032,OFF-BI-10000546,Avery Durable Binders,Office Supplies,0,Central,Consumer,2016-01-30,0.576,0.6048,80.0,3,1.728,-2.6784,0.0,0.0,0.0,2.0,0.03597122302158251,55.60000000000034
CA-2017-131618,OFF-BI-10000546,Avery Durable Binders,Office Supplies,0,Central,Corporate,2017-06-17,0.576,0.6048,80.0,4,2.304,-3.5712,0.0,0.0,0.0,0.33333333333333326,0.0,0.0
US-2015-122784,OFF-BI-10000546,Avery Durable Binders,Office Supplies,0,Central,Consumer,2015-07-20,0.576,0.6048,80.0,5,2.88,-4.464,0.0,0.0,0.0,0.25,0.0,0.0
CA-2017-149489,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,Office Supplies,0,East,Corporate,2017-04-24,0.594,0.6237,70.0,2,1.188,-0.99,0.0,0.0,0.0,-0.6,0.03125,-19.2
